"_time","1등게임수","1등상금비중(%)","연간1등총상금액(백만원)","연간총상금액(백만원)","연간총판매액(백만원)","연도","총상금비중(%)"
"2003-01-01 00:00:00.000+0900","209","23.113200146435855","883895","1746485","3824200","2003 ","45.66929030908425"
"2004-01-01 00:00:00.000+0900","252","23.190334707737083","764910","1640093","3298400","2004 ","49.72389643463497"
"2005-01-01 00:00:00.000+0900","341","23.770337576092974","644295","1377411","2710500","2005 ","50.81759822910902"
"2006-01-01 00:00:00.000+0900","302","23.28305701577032","575790","1235764","2473000","2006 ","49.97023857662758"
"2007-01-01 00:00:00.000+0900","302","23.247563610706884","527185","1132312","2267700","2007 ","49.93217797768664"
"2008-01-01 00:00:00.000+0900","285","23.13061797752809","527008","1134010","2278400","2008 ","49.77220856741573"
"2009-01-01 00:00:00.000+0900","295","23.37833311129262","549255","1174711","2349419","2009 ","50.00006384557203"
"2010-01-01 00:00:00.000+0900","291","23.54266277024409","569893","1210342","2420682","2010 ","50.000041310671946"
"2011-01-01 00:00:00.000+0900","366","23.956629678349938","673653","1405984","2811969","2011 ","49.99998221886515"
"2012-01-01 00:00:00.000+0900","346","24.123460772939325","683456","1416580","2833159","2012 ","50.0000176481447"
"2013-01-01 00:00:00.000+0900","403","23.909524405183696","712955","1490944","2981887","2013 ","50.0000167679057"
"2014-01-01 00:00:00.000+0900","391","24.017605674327907","730391","1520532","3041065","2014 ","49.999983558391556"
"2015-01-01 00:00:00.000+0900","393","23.951103836106594","777409","1622909","3245817","2015 ","50.00001540444209"
"2016-01-01 00:00:00.000+0900","458","23.929459626445723","861361","1799792","3599584","2016 ","50.0"
"2017-01-01 00:00:00.000+0900","478","23.872516360093226","906523","1897394","3797350","2017 ","49.966265948622066"
"2018-01-01 00:00:00.000+0900","484","23.969420895199807","949336","1980306","3960613","2018 ","49.99998737569159"
"2019-01-01 00:00:00.000+0900","507","24.186033772159092","1041974","2154082","4308164","2019 ","50.0"
"2020-01-01 00:00:00.000+0900","525","23.975600044595218","1129017","2354513","4709025","2020 ","50.00001061790923"
